chromosome	MSE	SSIM	PSNR
chr1	0.00023164600296660454	0.879155078458541	36.35175001631064
chr2	0.000325675043794256	0.8844201858992349	34.87215386430307
chr3	0.00034573236201503456	0.8828448813493177	34.61259841134128
chr4	0.0004108595335217092	0.8892897171011649	33.863065255669056
chr5	0.00032223486243688825	0.8839448411053484	34.91827340485223
chr6	0.0002739162762645082	0.8746299697418971	35.6238200239845
chr7	0.00026182977282728686	0.8767992505517539	35.819808052110616
chr8	0.00031747629016160294	0.8869908636366227	34.9828856644694
chr10	0.00028633010915279434	0.8848731016828963	35.43132829497631
chr11	0.00028426890214856127	0.8812460897352139	35.46270494969391
chr12	0.0003011690386085042	0.8840341304348754	35.21189533197497
chr13	0.00034462951155252646	0.9033420035298385	34.626474094725594
chr14	0.0003513706004493196	0.9032773122019393	34.54234455600254
chr15	0.00021067931580825796	0.8969596998901005	36.763778945655616
chr16	0.00024314413851846223	0.8883227785750918	36.141360169010056
chr17	0.00028679266623419077	0.8833378902583146	35.42431807063492
chr18	0.00038627364815066375	0.8882917147927295	34.13104806275876
chr19	0.0002668307974098766	0.8809625862724214	35.73763883159951
chr20	0.0002658889056849707	0.8844354339441065	35.75299620054912
chr21	0.00025183470015808146	0.8970643151402009	35.98884256466701
chr22	0.00024366991340470985	0.8905295114943171	36.13197912810162
chrX	0.000345611461430363	0.9022365581098366	34.61411737890407
average	0.0002980847205772351	0.8875903597229893	35.31841733055885
standard error	1.1039198220942389e-05	0.001761073780376424	0.15972019173409388
