chromosome	MSE	SSIM	PSNR
chr1	0.00023336230340751364	0.8870907240802436	36.31969111049308
chr2	0.0003693652713523495	0.8927799145801156	34.325438228522906
chr3	0.00038774228845432125	0.8920411311483756	34.11456718813474
chr4	0.00044607511925904555	0.898862184299204	33.505919023759176
chr5	0.0003577919169525613	0.8929493735915001	34.46369353629263
chr6	0.000292574219395238	0.8836061901354834	35.3376379657844
chr7	0.0002775951793064282	0.8851731797603327	35.565879236228064
chr8	0.00035926040740567666	0.895689461337072	34.44590521059926
chr10	0.0003165653106661895	0.8930472920003918	34.995365398130794
chr11	0.00030916387121903175	0.8904748160022127	35.098111228146934
chr12	0.0003311147470561616	0.893074161129333	34.80021345221962
chr13	0.00038772205784833545	0.9105352263326656	34.114793788837225
chr14	0.000401185198287986	0.9101426996945879	33.96654990380906
chr15	0.00022205448224121708	0.9037515167279884	36.535402604477824
chr16	0.0002461053360461264	0.8950536073844515	36.08878793372523
chr17	0.0002844477281173124	0.8918086937321288	35.45997377910509
chr18	0.0004275017939158761	0.897069569720197	33.690619569231956
chr19	0.00026570696548204196	0.8897149434969017	35.755968970046084
chr20	0.000277985606492964	0.8928660370694321	35.5597753412085
chr21	0.0002614453325185856	0.903797598850411	35.826189409419996
chr22	0.00023972670732983061	0.8955625847573796	36.20283398488458
chrX	0.0005929860483321149	0.8902264143160578	32.269554512785504
average	0.0003312489950494049	0.8947871509157483	34.92922142617466
standard error	1.870101037832412e-05	0.0015031828454886973	0.22778461325987126
