chromosome	MSE	SSIM	PSNR
chr1	0.0004122589239186941	0.8564694611407703	33.84829829327587
chr2	0.000335526188892041	0.8550995118437174	34.7427344666201
chr3	0.0003341974143450068	0.8532880887557405	34.759967845750694
chr4	0.0002543818767356083	0.8665464619849607	35.94513662212127
chr5	0.00030627791284357887	0.8563904343788252	35.13884179306544
chr6	0.0003643065551332734	0.8528307242111903	34.38532895018702
chr7	0.0003428594323616138	0.8567274655527372	34.648837715464296
chr8	0.00031320193506179496	0.8584655712208353	35.04175424732752
chr9	0.00032924867882484223	0.8722370714045803	34.8247582715013
chr10	0.0004102372448371031	0.8512364844234942	33.8696480735515
chr11	0.0004603283755032505	0.8450744054208827	33.3693215921112
chr12	0.00042688212520272553	0.8490033487769375	33.69691928253176
chr13	0.00027682250570157634	0.8737417752683042	35.57798447703044
chr14	0.0003744907837184373	0.865051835379516	34.26558749924373
chr15	0.0003837678705114236	0.8686162647922455	34.15931274547417
chr16	0.0005284967491719543	0.8556575610391532	32.76957597554876
chr17	0.0007894355792542971	0.8411932568272249	31.026832491679013
chr18	0.00036999807340918185	0.8597426096863547	34.31800419933738
chr19	0.0007041021922112346	0.8374373502114643	31.523642418299197
chr20	0.0005883253011475597	0.8437265499354281	32.30382400397068
chr21	0.000399841291595269	0.8787814132480418	33.98112249710286
chr22	0.0007169330716576817	0.8695574793250034	31.4452132485235
chrX	0.00025641471871384896	0.874765824058192	35.91056879700473
average	0.00042079716525008677	0.8583322151689391	33.9805745872488
standard error	3.094013301032076e-05	0.0023546169798302377	0.28566986956910606
