chromosome	MSE	SSIM	PSNR
chr1	0.0003802111153190953	0.8581048464660518	34.19975076635864
chr2	0.0003352331859645021	0.8557693374133808	34.74652865957613
chr3	0.0003159081364897397	0.8542345417136946	35.00439050842517
chr4	0.00023842526689087706	0.8677612639253081	36.22647540397162
chr5	0.0002988869826956631	0.8573712770517127	35.24492853897546
chr6	0.00033317634404729675	0.8545547453970492	34.773257112925926
chr7	0.0003251959626574288	0.8587143058171622	34.87854721308301
chr8	0.0002907343348613166	0.8592791641608112	35.365035269341284
chr9	0.00027972636510950583	0.8728432051152593	35.53266442790814
chr10	0.0003657031931766878	0.8539240846366042	34.36871128800529
chr11	0.0004237573962989168	0.846716913606258	33.72882606021999
chr12	0.00037496509830808005	0.8506411973418836	34.26009038629981
chr13	0.0002187995178099857	0.8760779687771001	36.599534409453675
chr14	0.00031046191661148414	0.8669423614359179	35.07991525874174
chr15	0.0003551899022037787	0.8703559528160256	34.4953926713003
chr16	0.00044970412833241966	0.8585226619455162	33.47073028970185
chr17	0.0006149009335776104	0.8450288109156042	32.11194776955879
chr18	0.0002960588612352047	0.862233429631989	35.28621788977859
chr19	0.0006276723817407513	0.8395502311843083	32.02266911161487
chr20	0.0004550784168278523	0.847439968760711	33.41913666017093
chr21	0.00025278671100867074	0.8827271834588438	35.972455888373524
chr22	0.000472979668087296	0.8731576216949013	33.25157435997851
chrX	0.0002420069567835158	0.8766184957244756	36.16171970063132
average	0.00035902446852337737	0.8603725899561117	34.617413028017154
standard error	2.2551986170867235e-05	0.0023537964045945076	0.2524355068044809
